Cue,Collection_S12,Collection_S15,Collection_S21,Collection_S22,Collection_S23,Collection_S30,Collection_S34,Collection_S57,Collection_S64,Collection_S65,Collection_S67,Collection_S7,Count_S12,Count_S15,Count_S21,Count_S22,Count_S23,Count_S30,Count_S34,Count_S57,Count_S64,Count_S65,Count_S67,Count_S7
megaphone,"""foule"", ""manifestation"", ""bruit"", ""volume"", ""voix"", ""cri"", ""slogan""","""bruit"", ""ordre"", ""information"", ""police"", ""gendarmerie""","""son"", ""électronique"", ""américain"", ""manifestation""","""parler"", ""fort""","""manifestation"", ""haut, parleur"", ""crier""","""bruit"", ""parler"", ""manifestation"", ""entendre"", ""crier"", ""fort""","""bruit"", ""parler"", ""distance"", ""foule""","""annoncer"", ""fort"", ""crier"", ""entendre"", ""alerte"", ""alerter"", ""incendie"", ""accident""","""mégaphone"", ""haut, parleur"", ""audio"", ""son"", ""intensité"", ""réflexion""","""bruit"", ""politique"", ""foule"", ""voix"", ""discours""",,"""parler"", ""voix"", ""manifestation"", ""militant""",7,5,4,2,3,6,4,8,6,5,0,4
memetronome,"""musique"", ""piano"", ""touche, de, musique"", ""noir"", ""blanc"", ""partition""","""piano"", ""rythme"", ""son"", ""cours"", ""lesser"", ""musique"", ""plaisant""","""musique"", ""rythme"", ""tempo"", ""bpm""",,"""scientifique"", ""physique"", ""calcul"", ""observation"", ""précision""","""musique"", ""chiant"", ""instrument"", ""rapide"", ""long"", ""normal""",,,,,,"""musique"", ""piano"", ""jouer"", ""école"", ""solfeggio""",6,7,4,0,5,6,0,0,0,0,0,5
microscope,"""biologie"", ""cellule"", ""organisme, vivant"", ""école"", ""collège"", ""salle, de, laboratoir""","""science"", ""médecine"", ""cellule"", ""recherche""","""observation"", ""biologie"", ""medicine"", ""microscopique"", ""petit"", ""nanométrique"", ""forme, de, vie""","""médecine"", ""regarder"", ""bactérie"", ""observer"", ""expérience""","""scientifique"", ""petit"", ""observation"", ""échelle"", ""micro, organisme""","""observation"", ""insect"", ""plante"", ""sang"", ""verre""","""biologie"", ""neuron""","""chimie"", ""biologie"", ""analyse"", ""bactérie"", ""dessiner"", ""observer""","""bactérie"", ""cellule"", ""organisme"", ""virus"", ""lactobacille""","""science"", ""télescope"", ""recherche"", ""science"", ""scientifique""","""petit"", ""plus, grand"", ""microbe"", ""insect"", ""science""","""chercheur"", ""investiger"", ""chercher"", ""augmenter, le, vue""",6,4,7,5,5,5,2,6,5,5,5,4
morse,"""phoque"", ""bébé"", ""animal""","""eau"", ""froid""",,,"""sauvage""","""mer""","""alaska""",,,"""neige"", ""froid"", ""hiver"", ""température""",,"""nager""",3,2,0,0,1,1,1,0,0,4,0,1
mousqueton,"""escalade"", ""rocher"", ""salle, de, sport"", ""mur, de, grimper"", ""prise, de, grimpe"", ""harnais""",,,,,"""escalader"", ""corps""","""fer"", ""escalade""",,,"""vélo"", ""clé""","""fixer"", ""porter"", ""poussette"", ""sac""","""clé""",6,0,0,0,0,2,2,0,0,2,4,1
myrtill,"""tarte"", ""fruit"", ""saveur"", ""framboise""","""fruit"", ""petit, déjeuner"", ""cher""","""fruit"", ""tarte"", ""baie"", ""être""","""fruit"", ""manger"", ""bleu"", ""petit""","""fruit"", ""alimentation"", ""vitamine"", ""petit, déjeuner""","""vert"", ""bleu""","""baie"", ""couleur"", ""dessert""","""fruit"", ""vision"", ""banane"", ""fraise"", ""jus""","""bleu"", ""fruit, de, bois"", ""gazon"", ""herbe""","""fruit, rouge"", ""arbre"", ""forêt"", ""printemps""","""délicieux"", ""bon, pour, le, santé"", ""yogourt"", ""gâteau""","""alsace"", ""france"", ""bon, pour, le, oeil"", ""délicieux""",4,3,4,4,4,2,3,5,4,4,4,4
nenuphar,,,,,,,,"""grenouille"", ""eau"", ""fleur""",,,"""très"", ""joli"", ""différent, couleur"", ""eau""",,0,0,0,0,0,0,0,3,0,0,4,0
neon,"""boîte"", ""lumière"", ""salle, de, classe"", ""lumière, froid""","""lumière"", ""chambre"", ""blanc"", ""électricité"", ""gaz""","""gaz"", ""dangereux"", ""consommateur"", ""long""",,"""illumination"", ""lumière"", ""chambre"", ""nuit""","""lumière"", ""led"", ""nuit"", ""allumer"", ""maison"", ""extérieur""","""lumiere"", ""fragile"", ""consommation""","""lumière"", ""briller"", ""éclairer"", ""voir"", ""éteindre"", ""joli""","""bâton"", ""ultraviolet"", ""lumière"", ""mur""",,,"""rideau"", ""fenêtre"", ""lumière"", ""lampe""",4,5,4,0,4,6,3,6,4,0,0,4
ornithorynque,"""animal"", ""castor"", ""rivière"", ""ruisseau"", ""canard""","""perry, lornithorynqu"", ""dessin, animer"", ""phinéer, et, ferb"", ""agent, secret""","""animal"", ""poilu"", ""étrange"", ""nonnaturel""","""animal"", ""eau""","""animal"", ""hybride"", ""aquatique"", ""sauvage""","""plat"", ""bec"", ""bouche"", ""perry""","""australie"", ""eau"", ""timide"", ""bec"", ""fourrure""","""australie"", ""eau"", ""timide"", ""bec"", ""fourrure""",,,,"""fleuve"", ""faire, le, nid"", ""bois""",5,4,4,2,4,4,5,5,0,0,0,3
paon,,,,,,,,"""joli"", ""zoo"", ""merveilleux"", ""beau""",,,,,0,0,0,0,0,0,0,4,0,0,0,0
papaye,"""fruit"", ""jungle"", ""pays, étranger""","""fruit"", ""sucrer"", ""délicieux"", ""exotique"", ""sain""","""tropical"", ""graine"", ""mou""","""fruit"", ""gout"", ""manger""","""fruit"", ""nutrition"", ""vitamine"", ""dessert""","""bon"", ""graine"", ""orange"", ""asie"", ""amérique, latin""","""exotique"", ""gout"", ""rouge""","""fruit"", ""paradisiaque"", ""ile"", ""profiter"", ""vacance"", ""être""","""exotic"", ""fruit"", ""mexiqu"", ""tropical""","""exotique"", ""fruit"", ""bon"", ""palmier""","""sucre"", ""thaïland"", ""pas, délicieux, de, tout"", ""fruit, très, grand""","""fruit, exotique"", ""thaïland"", ""jus"", ""chaud"", ""soleil""",3,5,3,3,4,5,3,6,4,4,4,5
partition,,,,,,,,"""musique"", ""note"", ""solfège"", ""clé, de, sol"", ""cler, de, fa"", ""piano"", ""spectacle""","""note"", ""accord"", ""echelle"", ""octave""",,"""note"", ""musique"", ""piano"", ""jouer"", ""mozart"", ""difficile""",,0,0,0,0,0,0,0,7,4,0,6,0
