Cue,Subject,Count,Collection
['clarinette'],S7,4,"[""['musique']"", ""['orchestre']"", ""['applaudir']"", ""['chanter']""]"
['clarinette'],S12,4,"[""['musique']"", ""['musique', 'classique']"", ""['concert']"", ""['spectacle', 'doper']""]"
['clarinette'],S15,0,[]
['clarinette'],S21,5,"[""['instrument']"", ""['vent']"", ""['milieu']"", ""['orchestre']"", ""['nasal']""]"
['clarinette'],S22,0,[]
['clarinette'],S23,4,"[""['musique']"", ""['orchestre']"", ""['artiste']"", ""['chanson']""]"
['clarinette'],S30,7,"[""['musique']"", ""['instrument']"", ""['bruit']"", ""['vent']"", ""['saxophone']"", ""['trompette']"", ""['charleston']""]"
['clarinette'],S34,0,[]
['clarinette'],S57,6,"[""['musique']"", ""['piano']"", ""['danser']"", ""['note', 'de', 'musique']"", ""['solfege']"", ""['prof', 'de', 'piano']""]"
['clarinette'],S64,5,"[""['flute']"", ""['souffler']"", ""['musique']"", ""['note']"", ""['accord']""]"
['clarinette'],S65,0,[]
['clarinette'],S67,0,[]
['colibri'],S7,5,"[""['vitesse']"", ""['voler']"", ""['fleur']"", ""['nectare']"", ""['minuscule']""]"
['colibri'],S12,7,"[""['le', 'vacance']"", ""['fleure']"", ""['sucre']"", ""['nectar']"", ""['aile']"", ""['rapidité']"", ""['vol']""]"
['colibri'],S15,7,"[""['oiseau']"", ""['fleur']"", ""['ibiscus']"", ""['couleur']"", ""['silence']"", ""['joli']"", ""['mignon']""]"
['colibri'],S21,5,"[""['vitesse']"", ""['oiseau']"", ""['vert']"", ""['rapide']"", ""['petit']""]"
['colibri'],S22,4,"[""['oiseau']"", ""['rapide']"", ""['petit']"", ""['fleur']""]"
['colibri'],S23,5,"[""['oiseau']"", ""['petit']"", ""['couleur']"", ""['pollen']"", ""['fleur']""]"
['colibri'],S30,7,"[""['hirondelle']"", ""['oiseau']"", ""['voler']"", ""['rapide']"", ""['long']"", ""['haut']"", ""['hydratation']""]"
['colibri'],S34,4,"[""['couleur']"", ""['voyage']"", ""['bec']"", ""['chant']""]"
['colibri'],S57,7,"[""['voler']"", ""['couleur']"", ""['oiseau']"", ""['ver', 'de', 'terre']"", ""['bec']"", ""['aile']"", ""['patte']""]"
['colibri'],S64,4,"[""['couleur']"", ""['voler']"", ""['petit']"", ""['oiseau']""]"
['colibri'],S65,8,"[""['oiseau']"", ""['bruit']"", ""['chant']"", ""['printemps']"", ""['soleil']"", ""['arbre']"", ""['feuille']"", ""['nid']""]"
['colibri'],S67,4,"[""['tre', 'petit']"", ""['colorer']"", ""['tropical']"", ""['jamais', 'voir']""]"
['compas'],S7,6,"[""['matematiqu']"", ""['geographie']"", ""['ecole']"", ""['marrant', 'marin']"", ""['bateau']"", ""['capitain']""]"
['compas'],S12,7,"[""['devoir']"", ""['rond']"", ""['ecole', 'primaire']"", ""['feuille']"", ""['maitresse']"", ""['prof']"", ""['pupitre']""]"
['compas'],S15,9,"[""['math']"", ""['cercle']"", ""['angle']"", ""['calculer']"", ""['exercise']"", ""['ecole']"", ""['cour']"", ""['professeur']"", ""['stylo']""]"
['compas'],S21,0,[]
['compas'],S22,3,"[""['math']"", ""['dessiner']"", ""['cercle']""]"
['compas'],S23,5,"[""['matematiqu']"", ""['ecole']"", ""['travail']"", ""['calculer']"", ""['physique']""]"
['compas'],S30,4,"[""['math']"", ""['geometrie']"", ""['platon']"", ""['statistique']""]"
['compas'],S34,5,"[""['precision']"", ""['rond']"", ""['ecole']"", ""['matematiqu']"", ""['enfance']""]"
['compas'],S57,6,"[""['tracer']"", ""['math']"", ""['cercle']"", ""['calculer']"", ""['angle']"", ""['circonference']""]"
['compas'],S64,5,"[""['equerre']"", ""['feuille']"", ""['geometrie']"", ""['aritmetiqu']"", ""['espace']""]"
['compas'],S65,0,[]
['compas'],S67,0,[]
['cor'],S7,0,[]
['cor'],S12,4,"[""['chasse']"", ""['trompette']"", ""['chien']"", ""['fusil']""]"
